,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,GHI_yesterday,GHI_Avg_Week,GHI_Avg_Month
2010-01-01 00:00:00,2010,1,1,0,0,0,0,0,3.5947237014770512,-2.6042846679687277,167.60518944786594,,,
2010-01-01 00:30:00,2010,1,1,0,30,0,0,0,3.4140348434448238,-2.8674987792968523,169.7851473963646,,,
2010-01-01 01:00:00,2010,1,1,1,0,0,0,0,3.2333459854125977,-3.1307128906249773,168.08073189398937,,,
2010-01-01 01:30:00,2010,1,1,1,30,0,0,0,3.114784479141236,-3.3041137695312277,163.67006316563766,,,
2010-01-01 02:00:00,2010,1,1,2,0,0,0,0,2.996222972869873,-3.4775146484374773,158.1447066676947,,,
2010-01-01 02:30:00,2010,1,1,2,30,0,0,0,2.9275152683258057,-3.5478881835937277,152.1757672007459,,,
2010-01-01 03:00:00,2010,1,1,3,0,0,0,0,2.8588075637817383,-3.618231201171852,146.01416842304832,,,
2010-01-01 03:30:00,2010,1,1,3,30,0,0,0,2.769903421401977,-3.645269775390602,139.7690294370527,,,
2010-01-01 04:00:00,2010,1,1,4,0,0,0,0,2.680999279022217,-3.672338867187477,133.49731714091223,,,
2010-01-01 04:30:00,2010,1,1,4,30,0,0,0,2.5348618030548096,-3.660101318359352,127.23464865683569,,,
2010-01-01 05:00:00,2010,1,1,5,0,0,0,0,2.3887243270874023,-3.6478637695312273,121.00749122877312,,,
2010-01-01 05:30:00,2010,1,1,5,30,0,0,0,2.1911392211914062,-3.5434326171874773,114.83877156692536,,,
2010-01-01 06:00:00,2010,1,1,6,0,0,0,0,1.9935542345047,-3.4390014648437277,108.75091276561388,,,
2010-01-01 06:30:00,2010,1,1,6,30,0,0,0,1.7601335048675537,-3.0454772949218523,102.76782243420436,,,
2010-01-01 07:00:00,2010,1,1,7,0,0,0,0,1.5267127752304075,-2.6519226074218523,96.91648338551893,,,
2010-01-01 07:30:00,2010,1,1,7,30,0,0,0,1.253789305686951,-1.8300231933593525,91.22845707066138,,,
2010-01-01 08:00:00,2010,1,1,8,0,47,25,295,0.9808658957481384,-1.0081237792968525,85.73969154290747,,,
2010-01-01 08:30:00,2010,1,1,8,30,135,51,505,0.7832377552986145,0.15471801757814774,80.50011545887044,,,
2010-01-01 09:00:00,2010,1,1,9,0,228,65,655,0.5856096148490906,1.3175292968750227,75.56167911704246,,,
2010-01-01 09:30:00,2010,1,1,9,30,318,74,748,0.4451542496681213,2.891778564453148,70.99106367919144,,,
2010-01-01 10:00:00,2010,1,1,10,0,400,82,809,0.3046989142894745,4.466027832031274,66.86668102584488,,,
