YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (Wh/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod (Wh/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,TotCC (10ths),TotCC Flg,OpqCC (10ths),OpqCC Flg,Dry Bulb (C),Dry Bulb Flg,Dew Pnt (C),Dew Pnt Flg,Rel Hum (%),Rel Hum Flg,Baro Press (mbar),Baro Press Flg,Wind Speed (m/s),Wind Speed Flg,Wind Dir (deg),Wind Dir Flg,Hor Vis (m),Hor Vis Flg,Ceil Hgt (m),Ceil Hgt Flg,Liq Precip Depth (mm),Liq Precip Depth Flg,Liq Precip Quantity (hours),Liq Precip Quantity Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1993-01-01,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,10.6,5,6.7,5,77,54,1014,53,5.7,5,330,5,24000,5,3962,5,0,5,1,99,2.0,1,0.147,1
1993-01-01,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,5,9,0,9.4,5,3.9,5,68,54,1014,53,10.3,5,330,5,24000,5,1006,5,0,5,1,99,1.9,1,0.147,1
1993-01-01,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,7.8,5,2.2,5,68,54,1013,53,7.7,5,330,5,24000,5,1128,5,0,5,1,99,1.9,1,0.147,1
1993-01-01,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,5,5,5,0,7.2,5,0.6,5,63,54,1013,53,6.7,5,320,5,32000,5,22000,5,0,5,1,99,1.8,1,0.147,1
1993-01-01,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,8,5,8,0,6.7,5,-0.6,5,59,54,1013,53,8.8,5,310,5,32000,5,1250,5,0,5,1,99,1.8,1,0.147,1
1993-01-01,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,5,9,0,6.7,5,-0.6,5,59,54,1013,53,9.8,5,320,5,32000,5,1341,5,0,5,1,99,1.7,1,0.147,1
1993-01-01,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,8,5,8,0,6.1,5,-2.2,5,54,54,1012,53,11.3,5,320,5,32000,5,1676,5,0,5,1,99,1.7,1,0.147,1
1993-01-01,8:00,87.2,123.7,44,908,9,10,1,11,16,1,9,10,1,-9900,99,-9900,99,-9900,99,7,5,7,0,5.6,5,-2.8,5,53,54,1012,53,11.8,5,320,5,40000,5,1524,5,0,5,1,99,1.6,1,0.109,1
1993-01-01,9:00,80.1,132.4,243,1415,91,10,1,165,16,1,63,10,1,-9900,99,-9900,99,-9900,99,5,5,4,0,5.0,5,-2.2,5,58,54,1012,53,10.3,5,320,5,40000,5,22000,5,0,5,1,99,1.6,1,0.109,1
1993-01-01,10:00,72.6,144.3,423,1415,203,10,1,329,16,1,104,10,1,-9900,99,-9900,99,-9900,99,6,5,6,0,4.4,5,-3.3,5,55,54,1012,53,12.9,5,320,5,40000,5,1219,5,0,5,1,99,1.5,1,0.109,1
1993-01-01,11:00,67.1,157.7,550,1415,346,10,1,521,16,1,143,10,1,-9900,99,-9900,99,-9900,99,3,5,3,0,3.3,5,-6.1,5,47,54,1011,53,12.4,5,320,5,40000,5,22000,5,0,5,1,99,1.5,1,0.109,1
