,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
2018-12-10 00:00:00,22.89,0.9,20.32,0.69,partly-cloudy-night,320.74,0.0,0.0002,0.01,snow,1020.96,Mostly Cloudy,29.03,0,10,320,7.95,5.77
2018-12-10 01:00:00,22.22,0.87,20.03,0.69,partly-cloudy-night,321.48,0.0,0.0002,0.01,snow,1020.04,Mostly Cloudy,28.84,0,10,339,9.45,6.31
2018-12-10 02:00:00,21.11,0.7,19.85,0.7,partly-cloudy-night,322.47,0.011,0.0011,0.01,snow,1019.41,Mostly Cloudy,28.26,0,10,350,10.63,6.85
2018-12-10 03:00:00,20.45,0.72,20.03,0.71,partly-cloudy-night,323.43,,0.0,0.0,,1019.16,Mostly Cloudy,28.15,0,10,358,13.9,7.57
2018-12-10 04:00:00,19.82,0.7,20.56,0.73,partly-cloudy-night,324.3,0.006,0.0005,0.01,snow,1018.92,Mostly Cloudy,27.95,0,10,4,16.29,8.13
2018-12-10 05:00:00,18.29,0.56,21.06,0.77,partly-cloudy-night,324.81,,0.0,0.0,,1019.25,Partly Cloudy,27.16,0,10,8,17.04,9.03
2018-12-10 06:00:00,17.76,0.45,22.0,0.81,partly-cloudy-night,325.32,,0.0,0.0,,1019.33,Partly Cloudy,27.18,0,10,7,19.64,9.99
2018-12-10 07:00:00,17.82,0.36,22.64,0.82,partly-cloudy-night,326.05,,0.0,0.0,,1019.45,Partly Cloudy,27.5,0,10,7,21.0,10.6
2018-12-10 08:00:00,19.11,0.35,22.63,0.78,partly-cloudy-day,327.44,,0.0,0.0,,1019.66,Partly Cloudy,28.55,0,10,8,20.33,10.65
2018-12-10 09:00:00,21.28,0.34,22.25,0.72,partly-cloudy-day,328.96,,0.0,0.0,,1019.93,Partly Cloudy,30.17,0,10,11,18.42,10.34
2018-12-10 10:00:00,23.62,0.32,21.79,0.66,partly-cloudy-day,330.07,,0.0,0.0,,1020.06,Partly Cloudy,31.88,1,10,11,16.39,9.93
2018-12-10 11:00:00,26.26,0.29,21.25,0.6,partly-cloudy-day,330.08,,0.0,0.0,,1019.97,Partly Cloudy,33.83,1,10,7,14.42,9.47
2018-12-10 12:00:00,28.89,0.23,20.6,0.54,clear-day,329.55,,0.0,0.0,,1019.79,Clear,35.72,1,10,1,12.32,8.9
2018-12-10 13:00:00,30.66,0.16,20.06,0.5,clear-day,329.26,,0.0003,0.02,rain,1019.66,Clear,36.93,1,10,355,10.84,8.35
2018-12-10 14:00:00,30.92,0.1,19.78,0.49,clear-day,329.31,,0.0004,0.02,rain,1019.58,Clear,36.97,1,10,354,10.51,7.95
2018-12-10 15:00:00,30.24,0.04,19.63,0.5,clear-day,329.53,,0.0003,0.02,rain,1019.58,Clear,36.24,0,10,352,10.8,7.59
2018-12-10 16:00:00,28.91,0.0,19.47,0.53,clear-day,329.96,,0.0003,0.01,rain,1019.77,Clear,34.98,0,10,353,10.77,7.29
2018-12-10 17:00:00,27.24,0.0,19.36,0.56,clear-night,330.69,0.0,0.0002,0.01,snow,1020.24,Clear,33.43,0,10,354,9.92,6.97
2018-12-10 18:00:00,25.29,0.0,19.29,0.6,clear-night,331.59,,0.0,0.0,,1020.85,Clear,31.64,0,10,358,8.83,6.67
2018-12-10 19:00:00,23.84,0.0,19.23,0.63,clear-night,332.49,,0.0,0.0,,1021.36,Clear,30.29,0,10,2,8.02,6.45
2018-12-10 20:00:00,22.9,0.01,19.24,0.65,clear-night,333.44,,0.0,0.0,,1021.58,Clear,29.46,0,10,7,7.83,6.39
2018-12-10 21:00:00,22.3,0.01,19.27,0.67,clear-night,334.4,,0.0,0.0,,1021.68,Clear,28.95,0,10,11,7.92,6.37
2018-12-10 22:00:00,21.9,0.02,19.3,0.68,clear-night,335.23,,0.0,0.0,,1021.74,Clear,28.5,0,10,15,7.74,6.2
2018-12-10 23:00:00,21.95,0.04,19.33,0.69,clear-night,335.99,,0.0,0.0,,1021.85,Clear,28.17,0,10,21,6.96,5.67
