,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
2018-12-09 00:00:00,24.64,0.43,16.64,0.56,partly-cloudy-night,299.99,,0.0,0.0,,1034.34,Partly Cloudy,30.38,0,10,314,13.33,5.6
2018-12-09 01:00:00,24.03,0.58,16.37,0.57,partly-cloudy-night,299.27,,0.0,0.0,,1033.75,Partly Cloudy,29.87,0,10,326,12.51,5.6
2018-12-09 02:00:00,23.62,0.62,16.31,0.58,partly-cloudy-night,298.57,,0.0,0.0,,1033.99,Mostly Cloudy,29.31,0,10,333,10.87,5.32
2018-12-09 03:00:00,23.54,0.67,16.41,0.59,partly-cloudy-night,298.08,,0.0,0.0,,1033.93,Mostly Cloudy,28.76,0,10,349,10.19,4.73
2018-12-09 04:00:00,23.68,0.74,16.54,0.61,partly-cloudy-night,297.76,,0.0,0.0,,1033.82,Mostly Cloudy,28.39,0,10,354,8.79,4.2
2018-12-09 05:00:00,23.62,0.79,16.67,0.62,partly-cloudy-night,297.75,,0.0,0.0,,1033.29,Mostly Cloudy,27.93,0,10,354,7.07,3.8
2018-12-09 06:00:00,23.39,0.91,16.74,0.64,partly-cloudy-night,297.95,0.01,0.001,0.01,snow,1032.76,Mostly Cloudy,27.39,0,10,350,5.34,3.5
2018-12-09 07:00:00,23.52,0.97,16.81,0.64,cloudy,298.31,,0.0,0.0,,1032.24,Overcast,27.44,0,10,358,4.32,3.44
2018-12-09 08:00:00,24.91,0.98,16.98,0.62,cloudy,298.81,0.019,0.0019,0.01,snow,1031.88,Overcast,28.17,0,10,14,3.79,3.05
2018-12-09 09:00:00,29.53,0.99,17.31,0.6,cloudy,299.5,0.0,0.0002,0.02,snow,1031.72,Overcast,29.53,0,10,22,3.54,2.63
2018-12-09 10:00:00,30.39,0.99,17.57,0.58,cloudy,300.41,,0.0,0.0,,1031.5,Overcast,30.39,1,10,203,3.72,0.59
2018-12-09 11:00:00,31.55,0.99,17.19,0.55,cloudy,301.64,0.0,0.0002,0.02,snow,1030.86,Overcast,31.55,1,10,83,4.42,2.65
2018-12-09 12:00:00,33.18,0.98,17.58,0.52,cloudy,303.03,0.0,0.0002,0.02,snow,1029.88,Overcast,33.18,1,10,138,5.75,2.98
2018-12-09 13:00:00,32.17,0.98,17.98,0.5,cloudy,304.33,0.0,0.0002,0.02,snow,1028.87,Overcast,34.52,1,10,205,6.59,3.0
2018-12-09 14:00:00,35.06,0.98,18.54,0.5,cloudy,305.43,,0.0,0.0,,1027.82,Overcast,35.06,1,10,227,6.4,2.24
2018-12-09 15:00:00,34.86,0.98,19.14,0.52,cloudy,306.52,,0.0,0.0,,1026.71,Overcast,34.86,0,10,288,5.75,2.66
2018-12-09 16:00:00,34.37,0.99,19.5,0.54,cloudy,307.7,,0.0,0.0,,1025.79,Overcast,34.37,0,10,279,5.24,2.59
2018-12-09 17:00:00,33.31,0.99,19.6,0.57,cloudy,309.26,,0.0,0.0,,1025.25,Overcast,33.31,0,10,267,5.12,2.19
2018-12-09 18:00:00,32.44,1.0,19.48,0.58,cloudy,310.89,,0.0,0.0,,1024.95,Overcast,32.44,0,10,339,5.19,2.71
2018-12-09 19:00:00,31.92,1.0,19.22,0.59,cloudy,312.61,,0.0,0.0,,1024.44,Overcast,31.92,0,10,322,5.46,2.86
2018-12-09 20:00:00,28.64,1.0,18.83,0.59,cloudy,314.31,,0.0,0.0,,1023.5,Overcast,31.61,0,10,323,5.83,3.17
2018-12-09 21:00:00,27.8,1.0,18.29,0.58,cloudy,315.95,,0.0,0.0,,1022.39,Overcast,31.39,0,10,352,6.38,3.63
2018-12-09 22:00:00,26.98,1.0,17.78,0.57,cloudy,317.56,,0.0,0.0,,1021.44,Overcast,31.18,0,10,336,7.22,4.13
2018-12-09 23:00:00,26.01,0.99,17.34,0.57,cloudy,318.73,,0.0,0.0,,1020.89,Overcast,30.9,0,10,330,8.63,4.76
