,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
2018-12-11 00:00:00,25.6,0.0,23.88,0.71,clear-night,329.44,0.013,0.0018,0.01,snow,1022.1,Clear,32.3,0,10,33,10.06,7.4
2018-12-11 01:00:00,25.2,0.0,23.96,0.72,clear-night,329.95,0.015,0.0019,0.01,snow,1022.14,Clear,32.04,0,10,24,9.62,7.51
2018-12-11 02:00:00,24.96,0.03,24.1,0.73,clear-night,330.62,0.004,0.0005,0.01,snow,1022.27,Clear,31.74,0,10,24,9.2,7.33
2018-12-11 03:00:00,24.88,0.06,24.19,0.74,clear-night,331.23,,0.0,0.0,,1022.23,Clear,31.48,0,10,24,8.64,6.99
2018-12-11 04:00:00,24.93,0.1,24.3,0.75,clear-night,331.84,0.012,0.0015,0.01,snow,1022.03,Clear,31.28,0,10,25,8.24,6.58
2018-12-11 05:00:00,23.49,0.17,23.59,0.77,clear-night,332.27,,0.0,0.0,,1022.27,Clear,29.91,0,10,21,6.56,6.32
2018-12-11 06:00:00,23.2,0.2,23.72,0.79,clear-night,332.69,,0.0,0.0,,1022.14,Clear,29.55,0,10,23,6.18,6.15
2018-12-11 07:00:00,23.67,0.22,23.91,0.79,clear-night,333.13,,0.0,0.0,,1022.03,Clear,29.73,0,10,27,5.85,5.82
2018-12-11 08:00:00,25.45,0.25,24.21,0.77,partly-cloudy-day,333.69,,0.0,0.0,,1022.1,Partly Cloudy,30.7,0,10,34,5.12,5.11
2018-12-11 09:00:00,27.94,0.28,24.63,0.74,partly-cloudy-day,334.26,,0.0,0.0,,1022.16,Partly Cloudy,32.08,0,10,42,4.25,4.21
2018-12-11 10:00:00,30.16,0.3,24.93,0.71,partly-cloudy-day,334.82,,0.0,0.0,,1021.92,Partly Cloudy,33.42,1,10,53,3.67,3.6
2018-12-11 11:00:00,31.7,0.31,25.19,0.68,partly-cloudy-day,335.03,,0.0,0.0,,1021.11,Partly Cloudy,34.71,1,10,70,3.94,3.55
2018-12-11 12:00:00,36.22,0.3,25.41,0.64,partly-cloudy-day,335.15,,0.0,0.0,,1019.99,Partly Cloudy,36.22,1,10,115,4.89,2.75
2018-12-11 13:00:00,33.97,0.29,25.54,0.62,partly-cloudy-day,336.02,,0.0,0.0,,1019.04,Partly Cloudy,37.24,1,10,282,6.14,4.16
2018-12-11 14:00:00,34.91,0.28,25.57,0.61,partly-cloudy-day,338.45,,0.0,0.0,,1018.4,Partly Cloudy,37.59,1,10,274,7.06,3.63
2018-12-11 15:00:00,34.1,0.26,25.45,0.62,partly-cloudy-day,341.6,,0.0,0.0,,1017.89,Partly Cloudy,37.3,0,10,236,7.86,4.11
2018-12-11 16:00:00,33.0,0.25,25.4,0.63,partly-cloudy-day,343.85,,0.0,0.0,,1017.52,Partly Cloudy,36.68,0,10,247,8.75,4.51
2018-12-11 17:00:00,31.14,0.25,25.41,0.66,partly-cloudy-night,344.22,,0.0,0.0,,1017.25,Partly Cloudy,35.55,0,10,255,9.8,5.12
2018-12-11 18:00:00,29.06,0.27,25.44,0.7,partly-cloudy-night,343.65,,0.0,0.0,,1017.11,Partly Cloudy,34.27,0,10,255,10.95,5.83
2018-12-11 19:00:00,26.74,0.27,25.44,0.73,partly-cloudy-night,343.14,0.0,0.0003,0.01,snow,1016.92,Partly Cloudy,33.15,0,10,261,12.19,7.22
2018-12-11 20:00:00,25.58,0.27,25.47,0.75,partly-cloudy-night,342.73,,0.0,0.0,,1016.62,Partly Cloudy,32.51,0,10,237,13.59,7.81
2018-12-11 21:00:00,24.71,0.27,25.49,0.76,partly-cloudy-night,342.36,,0.0,0.0,,1016.3,Partly Cloudy,32.07,0,10,302,15.02,8.37
2018-12-11 22:00:00,24.44,0.26,25.39,0.76,partly-cloudy-night,342.88,,0.0,0.0,,1016.03,Partly Cloudy,32.24,0,10,276,16.24,9.2
2018-12-11 23:00:00,25.57,0.27,25.07,0.73,partly-cloudy-night,344.66,,0.0,0.0,,1015.85,Partly Cloudy,32.58,0,10,237,17.24,7.98
