,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
2018-12-09 00:00:00,24.07,0.58,22.54,0.61,partly-cloudy-night,305.6,,0.0006,0.02,rain,1032.76,Partly Cloudy,34.66,0,10,317,21.31,17.92
2018-12-09 01:00:00,24.46,0.67,22.95,0.61,partly-cloudy-night,304.07,,0.0002,0.01,rain,1032.11,Mostly Cloudy,34.89,0,10,318,20.16,17.58
2018-12-09 02:00:00,24.79,0.74,23.54,0.62,partly-cloudy-night,302.37,,0.0,0.0,,1032.36,Mostly Cloudy,35.19,0,10,320,19.22,17.8
2018-12-09 03:00:00,24.92,0.57,24.03,0.63,partly-cloudy-night,300.76,,0.0,0.0,,1032.74,Partly Cloudy,35.21,0,10,321,17.76,17.44
2018-12-09 04:00:00,24.74,0.56,24.27,0.65,partly-cloudy-night,299.55,,0.0,0.0,,1032.77,Partly Cloudy,34.96,0,10,323,16.98,16.98
2018-12-09 05:00:00,24.23,0.73,24.03,0.66,partly-cloudy-night,298.91,,0.0018,0.01,rain,1032.54,Mostly Cloudy,34.35,0,10,328,16.1,16.1
2018-12-09 06:00:00,24.01,0.65,23.44,0.65,partly-cloudy-night,298.67,0.007,0.001,0.01,snow,1032.03,Mostly Cloudy,33.8,0,10,335,14.67,14.66
2018-12-09 07:00:00,24.5,0.78,22.74,0.64,partly-cloudy-night,298.61,,0.0,0.0,,1031.6,Mostly Cloudy,33.58,0,10,340,12.66,12.66
2018-12-09 08:00:00,25.38,0.81,22.2,0.62,partly-cloudy-day,298.86,0.014,0.0019,0.01,snow,1031.49,Mostly Cloudy,33.64,0,10,339,10.8,10.8
2018-12-09 09:00:00,26.64,0.87,22.16,0.62,partly-cloudy-day,299.3,0.0,0.0002,0.01,snow,1031.27,Mostly Cloudy,33.95,1,10,344,9.06,9.04
2018-12-09 10:00:00,28.13,0.92,22.22,0.61,partly-cloudy-day,299.69,,0.0,0.0,,1031.07,Mostly Cloudy,34.41,1,10,358,7.44,7.42
2018-12-09 11:00:00,29.99,0.91,23.42,0.62,partly-cloudy-day,300.04,,0.0002,0.02,rain,1030.35,Mostly Cloudy,34.92,1,10,48,5.65,5.63
2018-12-09 12:00:00,31.81,0.94,23.56,0.62,cloudy,300.48,,0.0002,0.02,rain,1029.4,Overcast,35.28,1,10,119,4.42,4.06
2018-12-09 13:00:00,35.65,0.96,23.8,0.62,cloudy,300.95,,0.0002,0.02,rain,1028.44,Overcast,35.65,1,10,197,5.36,2.93
2018-12-09 14:00:00,32.93,0.98,24.15,0.62,cloudy,301.62,,0.0,0.0,,1027.46,Overcast,36.0,1,10,202,6.77,3.78
2018-12-09 15:00:00,32.07,0.99,24.59,0.62,cloudy,302.34,,0.0,0.0,,1026.43,Overcast,36.43,0,10,200,8.5,5.26
2018-12-09 16:00:00,31.73,1.0,25.24,0.62,cloudy,303.58,,0.0,0.0,,1025.55,Overcast,36.83,0,10,210,9.63,6.37
2018-12-09 17:00:00,32.02,1.0,26.16,0.64,cloudy,305.63,,0.0,0.0,,1024.98,Overcast,37.37,0,10,220,9.75,6.93
2018-12-09 18:00:00,32.54,1.0,27.23,0.65,cloudy,308.11,,0.0,0.0,,1024.54,Overcast,37.97,0,10,226,9.33,7.26
2018-12-09 19:00:00,33.11,1.0,28.18,0.66,cloudy,310.03,,0.0,0.0,,1023.89,Overcast,38.46,0,10,218,8.68,7.28
2018-12-09 20:00:00,33.85,1.0,28.75,0.67,cloudy,310.75,,0.0,0.0,,1022.86,Overcast,38.78,0,10,182,7.82,6.69
2018-12-09 21:00:00,34.86,1.0,29.21,0.67,cloudy,310.95,,0.0,0.0,,1021.62,Overcast,39.05,0,10,358,6.76,5.66
2018-12-09 22:00:00,35.4,1.0,29.63,0.68,cloudy,311.43,,0.0,0.0,,1020.58,Overcast,39.32,0,10,291,6.02,5.36
2018-12-09 23:00:00,35.6,1.0,30.16,0.69,cloudy,312.4,,0.0,0.0,,1019.9,Overcast,39.56,0,10,274,5.81,5.48
