,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
2018-12-10 00:00:00,32.11,1.0,28.14,0.66,cloudy,319.48,0.0002,0.01,rain,1020.37,Overcast,38.68,0,10,331,9.93,9.77
2018-12-10 01:00:00,31.59,1.0,28.33,0.66,cloudy,320.85,0.0002,0.01,rain,1019.39,Overcast,38.63,0,10,322,10.83,10.82
2018-12-10 02:00:00,30.8,0.99,28.7,0.67,cloudy,321.58,0.0011,0.02,rain,1018.42,Overcast,38.56,0,10,327,12.64,12.62
2018-12-10 03:00:00,30.01,0.97,28.63,0.67,cloudy,321.94,0.0,0.0,,1017.7,Overcast,38.56,0,10,341,14.97,14.96
2018-12-10 04:00:00,29.27,0.96,28.83,0.68,cloudy,322.18,0.0005,0.02,rain,1017.08,Overcast,38.46,0,10,356,16.96,16.96
2018-12-10 05:00:00,28.44,0.92,29.09,0.69,partly-cloudy-night,322.14,0.0,0.0,,1017.13,Mostly Cloudy,38.18,0,10,5,18.64,18.64
2018-12-10 06:00:00,27.63,0.9,29.7,0.72,partly-cloudy-night,321.93,0.0,0.0,,1017.05,Mostly Cloudy,37.85,0,10,10,20.13,20.12
2018-12-10 07:00:00,27.2,0.85,30.28,0.74,partly-cloudy-night,321.97,0.0,0.0,,1017.08,Mostly Cloudy,37.72,0,10,14,21.15,21.14
2018-12-10 08:00:00,27.23,0.72,30.85,0.76,partly-cloudy-day,322.5,0.0,0.0,,1017.19,Mostly Cloudy,37.84,0,10,16,21.69,21.69
2018-12-10 09:00:00,27.58,0.56,31.34,0.76,partly-cloudy-day,323.29,0.0,0.0,,1017.4,Partly Cloudy,38.13,1,10,17,21.89,21.87
2018-12-10 10:00:00,28.04,0.43,31.56,0.76,partly-cloudy-day,324.17,0.0,0.0,,1017.56,Partly Cloudy,38.47,1,10,17,21.83,21.82
2018-12-10 11:00:00,28.36,0.35,31.33,0.75,partly-cloudy-day,325.39,0.0,0.0,,1017.61,Partly Cloudy,38.64,1,10,16,21.42,21.41
2018-12-10 12:00:00,28.65,0.28,30.78,0.73,partly-cloudy-day,326.89,0.0,0.0,,1017.6,Partly Cloudy,38.75,2,10,14,20.76,20.76
2018-12-10 13:00:00,28.72,0.24,30.22,0.71,clear-day,327.93,0.0003,0.04,rain,1017.64,Clear,38.71,1,10,13,20.3,20.29
2018-12-10 14:00:00,28.48,0.25,29.79,0.71,partly-cloudy-day,328.21,0.0004,0.04,rain,1017.71,Partly Cloudy,38.53,1,10,13,20.27,20.27
2018-12-10 15:00:00,28.06,0.3,29.38,0.7,partly-cloudy-day,328.07,0.0003,0.03,rain,1017.83,Partly Cloudy,38.23,0,10,13,20.42,20.42
2018-12-10 16:00:00,27.59,0.34,29.0,0.7,partly-cloudy-day,328.29,0.0003,0.01,rain,1018.12,Partly Cloudy,37.87,0,10,13,20.37,20.37
2018-12-10 17:00:00,27.09,0.36,28.63,0.7,partly-cloudy-night,329.21,0.0002,0.01,rain,1018.72,Partly Cloudy,37.41,0,10,15,19.98,19.98
2018-12-10 18:00:00,26.58,0.38,28.31,0.71,partly-cloudy-night,330.59,0.0,0.0,,1019.51,Partly Cloudy,36.91,0,10,16,19.41,19.41
2018-12-10 19:00:00,26.22,0.4,28.12,0.71,partly-cloudy-night,331.82,0.0,0.0,,1020.11,Partly Cloudy,36.49,0,10,19,18.73,18.72
2018-12-10 20:00:00,26.03,0.42,28.15,0.72,partly-cloudy-night,332.73,0.0,0.0,,1020.35,Partly Cloudy,36.18,0,10,22,17.97,17.97
2018-12-10 21:00:00,25.97,0.46,28.3,0.73,partly-cloudy-night,333.45,0.0,0.0,,1020.41,Partly Cloudy,35.94,0,10,25,17.09,17.09
2018-12-10 22:00:00,26.15,0.49,28.46,0.74,partly-cloudy-night,334.3,0.0,0.0,,1020.43,Partly Cloudy,35.84,0,10,28,16.11,16.11
2018-12-10 23:00:00,26.51,0.51,28.67,0.75,partly-cloudy-night,335.35,0.0,0.0,,1020.51,Partly Cloudy,35.84,0,10,32,14.97,14.96
