,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
2018-12-11 00:00:00,23.51,0.0,24.86,0.8,clear-night,329.91,0.015,0.0018,0.01,snow,1021.9,Clear,30.41,0,10,35,9.05,7.1
2018-12-11 01:00:00,23.1,0.0,24.89,0.81,clear-night,330.57,0.017,0.0019,0.01,snow,1021.88,Clear,30.05,0,10,35,8.4,7.06
2018-12-11 02:00:00,22.71,0.03,25.0,0.83,clear-night,331.33,0.005,0.0005,0.01,snow,1022.04,Clear,29.56,0,10,33,8.08,6.79
2018-12-11 03:00:00,22.27,0.08,25.15,0.85,clear-night,332.11,,0.0,0.0,,1022.04,Clear,29.17,0,10,34,8.12,6.75
2018-12-11 04:00:00,22.12,0.11,25.18,0.86,clear-night,332.85,0.015,0.0015,0.01,snow,1021.89,Clear,28.95,0,10,38,7.86,6.59
2018-12-11 05:00:00,20.69,0.22,24.84,0.88,clear-night,333.62,,0.0,0.0,,1022.13,Clear,27.78,0,10,35,6.65,6.63
2018-12-11 06:00:00,21.04,0.26,24.97,0.88,partly-cloudy-night,334.29,,0.0,0.0,,1022.04,Partly Cloudy,27.96,0,10,37,6.49,6.47
2018-12-11 07:00:00,22.22,0.28,25.14,0.86,partly-cloudy-night,334.92,,0.0,0.0,,1021.94,Partly Cloudy,28.82,0,10,42,6.29,6.28
2018-12-11 08:00:00,24.55,0.25,25.4,0.81,partly-cloudy-day,335.39,,0.0,0.0,,1021.99,Partly Cloudy,30.57,0,10,53,5.98,5.97
2018-12-11 09:00:00,27.67,0.2,25.7,0.74,clear-day,335.77,,0.0,0.0,,1022.04,Clear,32.98,0,10,65,5.67,5.66
2018-12-11 10:00:00,30.27,0.16,26.0,0.69,clear-day,335.96,,0.0,0.0,,1021.8,Clear,34.98,1,10,79,5.4,5.37
2018-12-11 11:00:00,32.42,0.17,26.29,0.66,clear-day,335.82,,0.0,0.0,,1021.0,Clear,36.74,1,10,94,5.42,5.27
2018-12-11 12:00:00,34.35,0.19,26.56,0.63,clear-day,335.58,,0.0,0.0,,1019.88,Clear,38.16,1,10,117,6.61,4.95
2018-12-11 13:00:00,39.01,0.22,26.8,0.61,clear-day,335.84,,0.0,0.0,,1018.93,Clear,39.01,1,10,183,7.75,2.72
2018-12-11 14:00:00,35.46,0.27,26.9,0.62,partly-cloudy-day,337.18,,0.0,0.0,,1018.3,Partly Cloudy,38.99,1,10,268,8.33,4.78
2018-12-11 15:00:00,34.72,0.33,26.96,0.64,partly-cloudy-day,339.01,,0.0,0.0,,1017.85,Partly Cloudy,38.21,0,10,249,8.66,4.58
2018-12-11 16:00:00,33.0,0.37,26.95,0.67,partly-cloudy-day,340.71,,0.0,0.0,,1017.46,Partly Cloudy,37.0,0,10,251,9.14,4.94
2018-12-11 17:00:00,30.81,0.37,26.81,0.71,partly-cloudy-night,342.05,,0.0,0.0,,1017.18,Partly Cloudy,35.38,0,10,262,9.95,5.28
2018-12-11 18:00:00,28.12,0.36,26.57,0.75,partly-cloudy-night,343.19,,0.0,0.0,,1016.96,Partly Cloudy,33.55,0,10,272,10.91,5.95
2018-12-11 19:00:00,25.73,0.35,26.32,0.79,partly-cloudy-night,343.85,0.0,0.0003,0.01,snow,1016.71,Partly Cloudy,31.94,0,10,265,11.94,6.57
2018-12-11 20:00:00,24.11,0.35,26.13,0.82,partly-cloudy-night,343.45,,0.0,0.0,,1016.4,Partly Cloudy,30.88,0,10,243,13.06,7.06
2018-12-11 21:00:00,22.85,0.35,25.94,0.83,partly-cloudy-night,342.63,,0.0,0.0,,1016.03,Partly Cloudy,30.38,0,10,308,14.22,8.03
2018-12-11 22:00:00,22.37,0.35,25.73,0.83,partly-cloudy-night,342.71,,0.0,0.0,,1015.73,Partly Cloudy,30.39,0,10,280,15.17,8.84
2018-12-11 23:00:00,22.47,0.35,25.52,0.81,partly-cloudy-night,344.42,,0.0,0.0,,1015.45,Partly Cloudy,30.67,0,10,260,15.76,9.28
