,ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Dir Mod (Wh/m^2),Dir Mod Unc (%),Dif Mod (Wh/m^2),Dif Mod Unc (%)
2006-01-02 00:00:00,0,0,0,0,0,0,0,0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0
2006-01-02 08:00:00,48,955,4,9,0,21,4,9
2006-01-02 09:00:00,247,1415,41,9,0,21,41,9
2006-01-02 10:00:00,423,1415,208,9,202,21,147,9
2006-01-02 11:00:00,548,1415,98,9,0,21,98,9
2006-01-02 12:00:00,610,1415,82,9,0,21,82,9
2006-01-02 13:00:00,607,1415,256,9,141,21,195,9
2006-01-02 14:00:00,537,1415,379,9,590,21,155,9
2006-01-02 15:00:00,407,1415,202,9,260,21,127,9
2006-01-02 16:00:00,225,1415,46,9,0,21,46,9
2006-01-02 17:00:00,33,790,3,9,0,21,3,9
2006-01-02 18:00:00,0,0,0,0,0,0,0,0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0
2006-01-02 20:00:00,0,0,0,0,0,0,0,0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0
2006-01-02 22:00:00,0,0,0,0,0,0,0,0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0
2006-01-03 01:00:00,0,0,0,0,0,0,0,0
2006-01-03 02:00:00,0,0,0,0,0,0,0,0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0
2006-01-03 05:00:00,0,0,0,0,0,0,0,0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0
2006-01-03 08:00:00,48,955,2,9,0,21,2,9
2006-01-03 09:00:00,247,1415,25,9,0,21,25,9
2006-01-03 10:00:00,424,1415,47,9,0,21,47,9
2006-01-03 11:00:00,549,1415,126,9,0,21,126,9
2006-01-03 12:00:00,612,1415,72,9,0,21,72,9
2006-01-03 13:00:00,609,1415,75,9,0,21,75,9
2006-01-03 14:00:00,540,1415,75,9,0,21,75,9
2006-01-03 15:00:00,410,1415,87,9,0,21,87,9
2006-01-03 16:00:00,228,1415,72,9,58,21,63,9
2006-01-03 17:00:00,35,814,2,9,28,21,1,9
2006-01-03 18:00:00,0,0,0,0,0,0,0,0
2006-01-03 19:00:00,0,0,0,0,0,0,0,0
2006-01-03 20:00:00,0,0,0,0,0,0,0,0
2006-01-03 21:00:00,0,0,0,0,0,0,0,0
2006-01-03 22:00:00,0,0,0,0,0,0,0,0
2006-01-03 23:00:00,0,0,0,0,0,0,0,0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0
2006-01-04 01:00:00,0,0,0,0,0,0,0,0
2006-01-04 02:00:00,0,0,0,0,0,0,0,0
2006-01-04 03:00:00,0,0,0,0,0,0,0,0
2006-01-04 04:00:00,0,0,0,0,0,0,0,0
2006-01-04 05:00:00,0,0,0,0,0,0,0,0
2006-01-04 06:00:00,0,0,0,0,0,0,0,0
2006-01-04 07:00:00,0,0,0,0,0,0,0,0
2006-01-04 08:00:00,48,955,13,9,147,21,5,9
2006-01-04 09:00:00,247,1415,140,9,452,21,61,9
2006-01-04 10:00:00,425,1415,289,9,711,21,75,9
2006-01-04 11:00:00,550,1415,393,9,777,21,90,9
2006-01-04 12:00:00,614,1415,430,9,774,21,94,9
2006-01-04 13:00:00,612,1415,444,9,626,21,173,9
2006-01-04 14:00:00,543,1415,220,9,119,21,174,9
2006-01-04 15:00:00,413,1415,240,9,412,21,119,9
2006-01-04 16:00:00,232,1415,64,9,52,21,55,9
2006-01-04 17:00:00,37,837,4,9,54,21,1,9
2006-01-04 18:00:00,0,0,0,0,0,0,0,0
