,ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Dir Mod (Wh/m^2),Dir Mod Unc (%),Dif Mod (Wh/m^2),Dif Mod Unc (%)
2006-01-02 00:00:00,0,0,0,0,0,0,0,0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0
2006-01-02 08:00:00,40,861,12,9,133,21,6,9
2006-01-02 09:00:00,236,1415,139,9,446,21,64,9
2006-01-02 10:00:00,417,1415,268,9,634,21,80,9
2006-01-02 11:00:00,547,1415,391,9,776,21,91,9
2006-01-02 12:00:00,614,1415,448,9,831,21,87,9
2006-01-02 13:00:00,616,1415,449,9,631,21,174,9
2006-01-02 14:00:00,551,1415,156,9,45,21,138,9
2006-01-02 15:00:00,424,1415,47,9,0,21,47,9
2006-01-02 16:00:00,245,1415,29,9,0,21,29,9
2006-01-02 17:00:00,46,932,9,9,72,21,5,9
2006-01-02 18:00:00,0,0,0,0,0,0,0,0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0
2006-01-02 20:00:00,0,0,0,0,0,0,0,0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0
2006-01-02 22:00:00,0,0,0,0,0,0,0,0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0
2006-01-03 01:00:00,0,0,0,0,0,0,0,0
2006-01-03 02:00:00,0,0,0,0,0,0,0,0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0
2006-01-03 05:00:00,0,0,0,0,0,0,0,0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0
2006-01-03 08:00:00,40,861,10,9,46,21,8,9
2006-01-03 09:00:00,237,1415,114,9,155,21,88,9
2006-01-03 10:00:00,418,1415,46,9,0,21,46,9
2006-01-03 11:00:00,548,1415,102,9,0,21,102,9
2006-01-03 12:00:00,616,1415,74,9,0,21,74,9
2006-01-03 13:00:00,618,1415,138,9,0,21,138,9
2006-01-03 14:00:00,554,1415,112,9,0,21,112,9
2006-01-03 15:00:00,428,1415,155,9,78,21,131,9
2006-01-03 16:00:00,249,1415,90,9,80,21,76,9
2006-01-03 17:00:00,48,955,5,9,0,21,5,9
2006-01-03 18:00:00,0,0,0,0,0,0,0,0
2006-01-03 19:00:00,0,0,0,0,0,0,0,0
2006-01-03 20:00:00,0,0,0,0,0,0,0,0
2006-01-03 21:00:00,0,0,0,0,0,0,0,0
2006-01-03 22:00:00,0,0,0,0,0,0,0,0
2006-01-03 23:00:00,0,0,0,0,0,0,0,0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0
2006-01-04 01:00:00,0,0,0,0,0,0,0,0
2006-01-04 02:00:00,0,0,0,0,0,0,0,0
2006-01-04 03:00:00,0,0,0,0,0,0,0,0
2006-01-04 04:00:00,0,0,0,0,0,0,0,0
2006-01-04 05:00:00,0,0,0,0,0,0,0,0
2006-01-04 06:00:00,0,0,0,0,0,0,0,0
2006-01-04 07:00:00,0,0,0,0,0,0,0,0
2006-01-04 08:00:00,40,861,12,9,147,21,5,9
2006-01-04 09:00:00,237,1415,139,9,495,21,56,9
2006-01-04 10:00:00,419,1415,286,9,717,21,73,9
2006-01-04 11:00:00,549,1415,394,9,800,21,83,9
2006-01-04 12:00:00,618,1415,451,9,833,21,87,9
2006-01-04 13:00:00,621,1415,440,9,785,21,95,9
2006-01-04 14:00:00,557,1415,398,9,802,21,82,9
2006-01-04 15:00:00,431,1415,294,9,477,21,149,9
2006-01-04 16:00:00,252,1415,25,9,0,21,25,9
2006-01-04 17:00:00,50,955,11,9,76,21,7,9
2006-01-04 18:00:00,0,0,0,0,0,0,0,0
