,ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Dir Mod (Wh/m^2),Dir Mod Unc (%),Dif Mod (Wh/m^2),Dif Mod Unc (%)
2006-01-02 00:00:00,0,0,0,0,0,0,0,0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0
2006-01-02 08:00:00,43,908,13,9,91,21,9,9
2006-01-02 09:00:00,239,1415,141,9,291,21,92,9
2006-01-02 10:00:00,417,1415,183,9,197,21,125,9
2006-01-02 11:00:00,542,1415,229,9,110,21,187,9
2006-01-02 12:00:00,605,1415,238,9,90,21,199,9
2006-01-02 13:00:00,603,1415,144,9,0,21,144,9
2006-01-02 14:00:00,536,1415,164,9,32,21,152,9
2006-01-02 15:00:00,407,1415,275,9,464,21,142,9
2006-01-02 16:00:00,227,1415,98,9,185,21,68,9
2006-01-02 17:00:00,35,814,3,9,122,21,0,9
2006-01-02 18:00:00,0,0,0,0,0,0,0,0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0
2006-01-02 20:00:00,0,0,0,0,0,0,0,0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0
2006-01-02 22:00:00,0,0,0,0,0,0,0,0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0
2006-01-03 01:00:00,0,0,0,0,0,0,0,0
2006-01-03 02:00:00,0,0,0,0,0,0,0,0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0
2006-01-03 05:00:00,0,0,0,0,0,0,0,0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0
2006-01-03 08:00:00,43,908,3,9,0,21,3,9
2006-01-03 09:00:00,239,1415,31,9,0,21,31,9
2006-01-03 10:00:00,417,1415,46,9,0,21,46,9
2006-01-03 11:00:00,543,1415,64,9,0,21,64,9
2006-01-03 12:00:00,607,1415,71,9,0,21,71,9
2006-01-03 13:00:00,606,1415,82,9,0,21,82,9
2006-01-03 14:00:00,538,1415,217,9,118,21,172,9
2006-01-03 15:00:00,410,1415,175,9,158,21,129,9
2006-01-03 16:00:00,230,1415,47,9,0,21,47,9
2006-01-03 17:00:00,37,837,4,9,65,21,1,9
2006-01-03 18:00:00,0,0,0,0,0,0,0,0
2006-01-03 19:00:00,0,0,0,0,0,0,0,0
2006-01-03 20:00:00,0,0,0,0,0,0,0,0
2006-01-03 21:00:00,0,0,0,0,0,0,0,0
2006-01-03 22:00:00,0,0,0,0,0,0,0,0
2006-01-03 23:00:00,0,0,0,0,0,0,0,0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0
2006-01-04 01:00:00,0,0,0,0,0,0,0,0
2006-01-04 02:00:00,0,0,0,0,0,0,0,0
2006-01-04 03:00:00,0,0,0,0,0,0,0,0
2006-01-04 04:00:00,0,0,0,0,0,0,0,0
2006-01-04 05:00:00,0,0,0,0,0,0,0,0
2006-01-04 06:00:00,0,0,0,0,0,0,0,0
2006-01-04 07:00:00,0,0,0,0,0,0,0,0
2006-01-04 08:00:00,43,908,13,9,157,21,5,9
2006-01-04 09:00:00,240,1415,141,9,504,21,55,9
2006-01-04 10:00:00,418,1415,285,9,718,21,72,9
2006-01-04 11:00:00,544,1415,390,9,798,21,83,9
2006-01-04 12:00:00,609,1415,443,9,827,21,87,9
2006-01-04 13:00:00,608,1415,441,9,825,21,86,9
2006-01-04 14:00:00,541,1415,385,9,792,21,82,9
2006-01-04 15:00:00,413,1415,280,9,710,21,72,9
2006-01-04 16:00:00,234,1415,139,9,518,21,53,9
2006-01-04 17:00:00,39,861,4,9,34,21,2,9
2006-01-04 18:00:00,0,0,0,0,0,0,0,0
