,ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Dir Mod (Wh/m^2),Dir Mod Unc (%),Dif Mod (Wh/m^2),Dif Mod Unc (%)
2006-01-02 00:00:00,0,0,0,0,0,0,0,0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0
2006-01-02 08:00:00,46,932,12,9,62,21,9,9
2006-01-02 09:00:00,247,1415,128,9,195,21,94,9
2006-01-02 10:00:00,427,1415,135,9,45,21,121,9
2006-01-02 11:00:00,555,1415,201,9,56,21,179,9
2006-01-02 12:00:00,620,1415,176,9,18,21,168,9
2006-01-02 13:00:00,620,1415,316,9,272,21,197,9
2006-01-02 14:00:00,553,1415,164,9,26,21,154,9
2006-01-02 15:00:00,424,1415,71,9,0,21,71,9
2006-01-02 16:00:00,242,1415,33,9,0,21,33,9
2006-01-02 17:00:00,43,884,7,9,46,21,5,9
2006-01-02 18:00:00,0,0,0,0,0,0,0,0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0
2006-01-02 20:00:00,0,0,0,0,0,0,0,0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0
2006-01-02 22:00:00,0,0,0,0,0,0,0,0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0
2006-01-03 01:00:00,0,0,0,0,0,0,0,0
2006-01-03 02:00:00,0,0,0,0,0,0,0,0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0
2006-01-03 05:00:00,0,0,0,0,0,0,0,0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0
2006-01-03 08:00:00,46,932,11,9,49,21,9,9
2006-01-03 09:00:00,247,1415,117,9,154,21,90,9
2006-01-03 10:00:00,428,1415,47,9,0,21,47,9
2006-01-03 11:00:00,556,1415,95,9,0,21,95,9
2006-01-03 12:00:00,622,1415,77,9,0,21,77,9
2006-01-03 13:00:00,622,1415,80,9,0,21,80,9
2006-01-03 14:00:00,555,1415,75,9,0,21,75,9
2006-01-03 15:00:00,427,1415,73,9,0,21,73,9
2006-01-03 16:00:00,246,1415,77,9,54,21,68,9
2006-01-03 17:00:00,45,908,7,9,46,21,5,9
2006-01-03 18:00:00,0,0,0,0,0,0,0,0
2006-01-03 19:00:00,0,0,0,0,0,0,0,0
2006-01-03 20:00:00,0,0,0,0,0,0,0,0
2006-01-03 21:00:00,0,0,0,0,0,0,0,0
2006-01-03 22:00:00,0,0,0,0,0,0,0,0
2006-01-03 23:00:00,0,0,0,0,0,0,0,0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0
2006-01-04 01:00:00,0,0,0,0,0,0,0,0
2006-01-04 02:00:00,0,0,0,0,0,0,0,0
2006-01-04 03:00:00,0,0,0,0,0,0,0,0
2006-01-04 04:00:00,0,0,0,0,0,0,0,0
2006-01-04 05:00:00,0,0,0,0,0,0,0,0
2006-01-04 06:00:00,0,0,0,0,0,0,0,0
2006-01-04 07:00:00,0,0,0,0,0,0,0,0
2006-01-04 08:00:00,46,932,11,9,113,21,5,9
2006-01-04 09:00:00,247,1415,122,9,357,21,60,9
2006-01-04 10:00:00,429,1415,261,9,600,21,79,9
2006-01-04 11:00:00,557,1415,362,9,567,21,139,9
2006-01-04 12:00:00,624,1415,286,9,184,21,205,9
2006-01-04 13:00:00,625,1415,196,9,35,21,181,9
2006-01-04 14:00:00,558,1415,339,9,451,21,161,9
2006-01-04 15:00:00,430,1415,265,9,579,21,89,9
2006-01-04 16:00:00,249,1415,144,9,493,21,57,9
2006-01-04 17:00:00,47,932,10,9,130,21,3,9
2006-01-04 18:00:00,0,0,0,0,0,0,0,0
