,ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Dir Mod (Wh/m^2),Dir Mod Unc (%),Dif Mod (Wh/m^2),Dif Mod Unc (%)
2006-01-02 00:00:00,0,0,0,0,0,0,0,0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0
2006-01-02 08:00:00,44,908,9,9,44,21,7,9
2006-01-02 09:00:00,243,1415,96,9,140,21,72,9
2006-01-02 10:00:00,424,1415,142,9,63,21,123,9
2006-01-02 11:00:00,551,1415,107,9,0,21,107,9
2006-01-02 12:00:00,617,1415,239,9,93,21,198,9
2006-01-02 13:00:00,617,1415,340,9,322,21,199,9
2006-01-02 14:00:00,550,1415,96,9,0,21,96,9
2006-01-02 15:00:00,422,1415,138,9,39,21,126,9
2006-01-02 16:00:00,241,1415,66,9,10,21,64,9
2006-01-02 17:00:00,43,884,4,9,0,21,4,9
2006-01-02 18:00:00,0,0,0,0,0,0,0,0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0
2006-01-02 20:00:00,0,0,0,0,0,0,0,0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0
2006-01-02 22:00:00,0,0,0,0,0,0,0,0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0
2006-01-03 01:00:00,0,0,0,0,0,0,0,0
2006-01-03 02:00:00,0,0,0,0,0,0,0,0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0
2006-01-03 05:00:00,0,0,0,0,0,0,0,0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0
2006-01-03 08:00:00,44,908,8,9,25,21,7,9
2006-01-03 09:00:00,244,1415,93,9,80,21,79,9
2006-01-03 10:00:00,424,1415,168,9,129,21,129,9
2006-01-03 11:00:00,553,1415,93,9,0,21,93,9
2006-01-03 12:00:00,619,1415,73,9,0,21,73,9
2006-01-03 13:00:00,619,1415,76,9,0,21,76,9
2006-01-03 14:00:00,553,1415,65,9,0,21,65,9
2006-01-03 15:00:00,425,1415,87,9,0,21,87,9
2006-01-03 16:00:00,245,1415,54,9,0,21,54,9
2006-01-03 17:00:00,45,908,5,9,16,21,4,9
2006-01-03 18:00:00,0,0,0,0,0,0,0,0
2006-01-03 19:00:00,0,0,0,0,0,0,0,0
2006-01-03 20:00:00,0,0,0,0,0,0,0,0
2006-01-03 21:00:00,0,0,0,0,0,0,0,0
2006-01-03 22:00:00,0,0,0,0,0,0,0,0
2006-01-03 23:00:00,0,0,0,0,0,0,0,0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0
2006-01-04 01:00:00,0,0,0,0,0,0,0,0
2006-01-04 02:00:00,0,0,0,0,0,0,0,0
2006-01-04 03:00:00,0,0,0,0,0,0,0,0
2006-01-04 04:00:00,0,0,0,0,0,0,0,0
2006-01-04 05:00:00,0,0,0,0,0,0,0,0
2006-01-04 06:00:00,0,0,0,0,0,0,0,0
2006-01-04 07:00:00,0,0,0,0,0,0,0,0
2006-01-04 08:00:00,44,908,10,9,88,21,6,9
2006-01-04 09:00:00,244,1415,114,9,281,21,65,9
2006-01-04 10:00:00,425,1415,281,9,571,21,109,9
2006-01-04 11:00:00,554,1415,366,9,585,21,136,9
2006-01-04 12:00:00,621,1415,348,9,338,21,199,9
2006-01-04 13:00:00,622,1415,144,9,0,21,144,9
2006-01-04 14:00:00,556,1415,369,9,544,21,155,9
2006-01-04 15:00:00,429,1415,253,9,438,21,120,9
2006-01-04 16:00:00,248,1415,68,9,48,21,60,9
2006-01-04 17:00:00,47,932,7,9,26,21,6,9
2006-01-04 18:00:00,0,0,0,0,0,0,0,0
