,ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Dir Mod (Wh/m^2),Dir Mod Unc (%),Dif Mod (Wh/m^2),Dif Mod Unc (%)
2006-01-02 00:00:00,0,0,0,0,0,0,0,0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0
2006-01-02 08:00:00,52,979,9,9,33,21,7,9
2006-01-02 09:00:00,254,1415,90,9,97,21,73,9
2006-01-02 10:00:00,432,1415,215,9,331,21,114,9
2006-01-02 11:00:00,556,1415,280,9,247,21,183,9
2006-01-02 12:00:00,619,1415,246,9,106,21,200,9
2006-01-02 13:00:00,615,1415,100,9,0,21,100,9
2006-01-02 14:00:00,545,1415,165,9,20,21,157,9
2006-01-02 15:00:00,414,1415,158,9,111,21,125,9
2006-01-02 16:00:00,231,1415,39,9,0,21,39,9
2006-01-02 17:00:00,36,814,2,9,0,21,2,9
2006-01-02 18:00:00,0,0,0,0,0,0,0,0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0
2006-01-02 20:00:00,0,0,0,0,0,0,0,0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0
2006-01-02 22:00:00,0,0,0,0,0,0,0,0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0
2006-01-03 01:00:00,0,0,0,0,0,0,0,0
2006-01-03 02:00:00,0,0,0,0,0,0,0,0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0
2006-01-03 05:00:00,0,0,0,0,0,0,0,0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0
2006-01-03 08:00:00,52,979,4,9,0,21,4,9
2006-01-03 09:00:00,254,1415,38,9,0,21,38,9
2006-01-03 10:00:00,432,1415,48,9,0,21,48,9
2006-01-03 11:00:00,558,1415,64,9,0,21,64,9
2006-01-03 12:00:00,621,1415,73,9,0,21,73,9
2006-01-03 13:00:00,618,1415,73,9,0,21,73,9
2006-01-03 14:00:00,548,1415,66,9,0,21,66,9
2006-01-03 15:00:00,417,1415,57,9,0,21,57,9
2006-01-03 16:00:00,234,1415,52,9,0,21,52,9
2006-01-03 17:00:00,38,837,1,9,0,21,1,9
2006-01-03 18:00:00,0,0,0,0,0,0,0,0
2006-01-03 19:00:00,0,0,0,0,0,0,0,0
2006-01-03 20:00:00,0,0,0,0,0,0,0,0
2006-01-03 21:00:00,0,0,0,0,0,0,0,0
2006-01-03 22:00:00,0,0,0,0,0,0,0,0
2006-01-03 23:00:00,0,0,0,0,0,0,0,0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0
2006-01-04 01:00:00,0,0,0,0,0,0,0,0
2006-01-04 02:00:00,0,0,0,0,0,0,0,0
2006-01-04 03:00:00,0,0,0,0,0,0,0,0
2006-01-04 04:00:00,0,0,0,0,0,0,0,0
2006-01-04 05:00:00,0,0,0,0,0,0,0,0
2006-01-04 06:00:00,0,0,0,0,0,0,0,0
2006-01-04 07:00:00,0,0,0,0,0,0,0,0
2006-01-04 08:00:00,52,979,11,9,84,21,6,9
2006-01-04 09:00:00,254,1415,114,9,250,21,69,9
2006-01-04 10:00:00,433,1415,267,9,495,21,115,9
2006-01-04 11:00:00,559,1415,379,9,704,21,101,9
2006-01-04 12:00:00,623,1415,377,9,432,21,187,9
2006-01-04 13:00:00,620,1415,233,9,81,21,197,9
2006-01-04 14:00:00,551,1415,110,9,0,21,110,9
2006-01-04 15:00:00,420,1415,247,9,427,21,120,9
2006-01-04 16:00:00,238,1415,104,9,216,21,67,9
2006-01-04 17:00:00,40,861,5,9,57,21,2,9
2006-01-04 18:00:00,0,0,0,0,0,0,0,0
