,ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Dir Mod (Wh/m^2),Dir Mod Unc (%),Dif Mod (Wh/m^2),Dif Mod Unc (%)
2006-01-02 00:00:00,0,0,0,0,0,0,0,0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0
2006-01-02 08:00:00,42,884,12,9,152,21,5,9
2006-01-02 09:00:00,240,1415,140,9,500,21,55,9
2006-01-02 10:00:00,422,1415,286,9,710,21,74,9
2006-01-02 11:00:00,551,1415,372,9,704,21,98,9
2006-01-02 12:00:00,618,1415,380,9,496,21,164,9
2006-01-02 13:00:00,619,1415,450,9,630,21,175,9
2006-01-02 14:00:00,554,1415,194,9,65,21,169,9
2006-01-02 15:00:00,426,1415,68,9,0,21,68,9
2006-01-02 16:00:00,246,1415,24,9,0,21,24,9
2006-01-02 17:00:00,46,932,8,9,70,21,4,9
2006-01-02 18:00:00,0,0,0,0,0,0,0,0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0
2006-01-02 20:00:00,0,0,0,0,0,0,0,0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0
2006-01-02 22:00:00,0,0,0,0,0,0,0,0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0
2006-01-03 01:00:00,0,0,0,0,0,0,0,0
2006-01-03 02:00:00,0,0,0,0,0,0,0,0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0
2006-01-03 05:00:00,0,0,0,0,0,0,0,0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0
2006-01-03 08:00:00,42,884,2,9,0,21,2,9
2006-01-03 09:00:00,241,1415,23,9,0,21,23,9
2006-01-03 10:00:00,422,1415,130,9,38,21,119,9
2006-01-03 11:00:00,552,1415,65,9,0,21,65,9
2006-01-03 12:00:00,620,1415,73,9,0,21,73,9
2006-01-03 13:00:00,622,1415,73,9,0,21,73,9
2006-01-03 14:00:00,557,1415,87,9,0,21,87,9
2006-01-03 15:00:00,430,1415,107,9,2,21,106,9
2006-01-03 16:00:00,250,1415,63,9,4,21,62,9
2006-01-03 17:00:00,48,955,2,9,0,21,2,9
2006-01-03 18:00:00,0,0,0,0,0,0,0,0
2006-01-03 19:00:00,0,0,0,0,0,0,0,0
2006-01-03 20:00:00,0,0,0,0,0,0,0,0
2006-01-03 21:00:00,0,0,0,0,0,0,0,0
2006-01-03 22:00:00,0,0,0,0,0,0,0,0
2006-01-03 23:00:00,0,0,0,0,0,0,0,0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0
2006-01-04 01:00:00,0,0,0,0,0,0,0,0
2006-01-04 02:00:00,0,0,0,0,0,0,0,0
2006-01-04 03:00:00,0,0,0,0,0,0,0,0
2006-01-04 04:00:00,0,0,0,0,0,0,0,0
2006-01-04 05:00:00,0,0,0,0,0,0,0,0
2006-01-04 06:00:00,0,0,0,0,0,0,0,0
2006-01-04 07:00:00,0,0,0,0,0,0,0,0
2006-01-04 08:00:00,42,884,12,9,152,21,5,9
2006-01-04 09:00:00,241,1415,141,9,501,21,56,9
2006-01-04 10:00:00,423,1415,287,9,711,21,74,9
2006-01-04 11:00:00,553,1415,370,9,551,21,155,9
2006-01-04 12:00:00,622,1415,272,9,155,21,204,9
2006-01-04 13:00:00,624,1415,225,9,70,21,194,9
2006-01-04 14:00:00,560,1415,394,9,598,21,158,9
2006-01-04 15:00:00,433,1415,285,9,696,21,72,9
2006-01-04 16:00:00,253,1415,140,9,481,21,54,9
2006-01-04 17:00:00,51,979,2,9,0,21,2,9
2006-01-04 18:00:00,0,0,0,0,0,0,0,0
