,ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Dir Mod (Wh/m^2),Dir Mod Unc (%),Dif Mod (Wh/m^2),Dif Mod Unc (%)
2006-01-02 00:00:00,0,0,0,0,0,0,0,0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0
2006-01-02 08:00:00,49,955,14,9,168,21,5,9
2006-01-02 09:00:00,251,1415,147,9,513,21,56,9
2006-01-02 10:00:00,430,1415,285,9,667,21,83,9
2006-01-02 11:00:00,556,1415,351,9,527,21,144,9
2006-01-02 12:00:00,620,1415,318,9,256,21,206,9
2006-01-02 13:00:00,617,1415,447,9,571,21,198,9
2006-01-02 14:00:00,549,1415,180,9,47,21,162,9
2006-01-02 15:00:00,418,1415,190,9,222,21,124,9
2006-01-02 16:00:00,236,1415,36,9,0,21,36,9
2006-01-02 17:00:00,39,861,5,9,65,21,2,9
2006-01-02 18:00:00,0,0,0,0,0,0,0,0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0
2006-01-02 20:00:00,0,0,0,0,0,0,0,0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0
2006-01-02 22:00:00,0,0,0,0,0,0,0,0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0
2006-01-03 01:00:00,0,0,0,0,0,0,0,0
2006-01-03 02:00:00,0,0,0,0,0,0,0,0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0
2006-01-03 05:00:00,0,0,0,0,0,0,0,0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0
2006-01-03 08:00:00,49,955,2,9,0,21,2,9
2006-01-03 09:00:00,251,1415,25,9,0,21,25,9
2006-01-03 10:00:00,430,1415,47,9,0,21,47,9
2006-01-03 11:00:00,557,1415,65,9,0,21,65,9
2006-01-03 12:00:00,622,1415,74,9,0,21,74,9
2006-01-03 13:00:00,620,1415,89,9,0,21,89,9
2006-01-03 14:00:00,552,1415,85,9,0,21,85,9
2006-01-03 15:00:00,422,1415,70,9,0,21,70,9
2006-01-03 16:00:00,240,1415,42,9,0,21,42,9
2006-01-03 17:00:00,41,884,4,9,8,21,4,9
2006-01-03 18:00:00,0,0,0,0,0,0,0,0
2006-01-03 19:00:00,0,0,0,0,0,0,0,0
2006-01-03 20:00:00,0,0,0,0,0,0,0,0
2006-01-03 21:00:00,0,0,0,0,0,0,0,0
2006-01-03 22:00:00,0,0,0,0,0,0,0,0
2006-01-03 23:00:00,0,0,0,0,0,0,0,0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0
2006-01-04 01:00:00,0,0,0,0,0,0,0,0
2006-01-04 02:00:00,0,0,0,0,0,0,0,0
2006-01-04 03:00:00,0,0,0,0,0,0,0,0
2006-01-04 04:00:00,0,0,0,0,0,0,0,0
2006-01-04 05:00:00,0,0,0,0,0,0,0,0
2006-01-04 06:00:00,0,0,0,0,0,0,0,0
2006-01-04 07:00:00,0,0,0,0,0,0,0,0
2006-01-04 08:00:00,49,955,13,9,152,21,5,9
2006-01-04 09:00:00,251,1415,140,9,465,21,58,9
2006-01-04 10:00:00,431,1415,269,9,628,21,78,9
2006-01-04 11:00:00,559,1415,369,9,596,21,134,9
2006-01-04 12:00:00,624,1415,281,9,174,21,204,9
2006-01-04 13:00:00,622,1415,207,9,49,21,185,9
2006-01-04 14:00:00,555,1415,318,9,384,21,168,9
2006-01-04 15:00:00,425,1415,260,9,489,21,113,9
2006-01-04 16:00:00,243,1415,145,9,417,21,73,9
2006-01-04 17:00:00,43,884,3,9,0,21,3,9
2006-01-04 18:00:00,0,0,0,0,0,0,0,0
