,ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Dir Mod (Wh/m^2),Dir Mod Unc (%),Dif Mod (Wh/m^2),Dif Mod Unc (%)
2006-01-02 00:00:00,0,0,0,0,0,0,0,0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0
2006-01-02 08:00:00,37,837,5,9,9,21,5,9
2006-01-02 09:00:00,229,1415,60,9,31,21,55,9
2006-01-02 10:00:00,408,1415,65,9,0,21,65,9
2006-01-02 11:00:00,535,1415,176,9,50,21,157,9
2006-01-02 12:00:00,601,1415,106,9,0,21,106,9
2006-01-02 13:00:00,602,1415,105,9,0,21,105,9
2006-01-02 14:00:00,537,1415,64,9,0,21,64,9
2006-01-02 15:00:00,411,1415,88,9,0,21,88,9
2006-01-02 16:00:00,233,1415,47,9,0,21,47,9
2006-01-02 17:00:00,39,861,5,9,71,21,2,9
2006-01-02 18:00:00,0,0,0,0,0,0,0,0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0
2006-01-02 20:00:00,0,0,0,0,0,0,0,0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0
2006-01-02 22:00:00,0,0,0,0,0,0,0,0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0
2006-01-03 01:00:00,0,0,0,0,0,0,0,0
2006-01-03 02:00:00,0,0,0,0,0,0,0,0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0
2006-01-03 05:00:00,0,0,0,0,0,0,0,0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0
2006-01-03 08:00:00,36,837,4,9,0,21,4,9
2006-01-03 09:00:00,229,1415,54,9,0,21,54,9
2006-01-03 10:00:00,408,1415,62,9,0,21,62,9
2006-01-03 11:00:00,536,1415,121,9,0,21,121,9
2006-01-03 12:00:00,603,1415,207,9,40,21,190,9
2006-01-03 13:00:00,604,1415,132,9,0,21,132,9
2006-01-03 14:00:00,540,1415,172,9,41,21,156,9
2006-01-03 15:00:00,414,1415,60,9,0,21,60,9
2006-01-03 16:00:00,236,1415,71,9,48,21,63,9
2006-01-03 17:00:00,41,884,5,9,47,21,3,9
2006-01-03 18:00:00,0,0,0,0,0,0,0,0
2006-01-03 19:00:00,0,0,0,0,0,0,0,0
2006-01-03 20:00:00,0,0,0,0,0,0,0,0
2006-01-03 21:00:00,0,0,0,0,0,0,0,0
2006-01-03 22:00:00,0,0,0,0,0,0,0,0
2006-01-03 23:00:00,0,0,0,0,0,0,0,0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0
2006-01-04 01:00:00,0,0,0,0,0,0,0,0
2006-01-04 02:00:00,0,0,0,0,0,0,0,0
2006-01-04 03:00:00,0,0,0,0,0,0,0,0
2006-01-04 04:00:00,0,0,0,0,0,0,0,0
2006-01-04 05:00:00,0,0,0,0,0,0,0,0
2006-01-04 06:00:00,0,0,0,0,0,0,0,0
2006-01-04 07:00:00,0,0,0,0,0,0,0,0
2006-01-04 08:00:00,37,837,10,9,80,21,6,9
2006-01-04 09:00:00,230,1415,132,9,282,21,87,9
2006-01-04 10:00:00,409,1415,195,9,271,21,117,9
2006-01-04 11:00:00,538,1415,298,9,382,21,153,9
2006-01-04 12:00:00,605,1415,439,9,568,21,197,9
2006-01-04 13:00:00,607,1415,193,9,93,21,153,9
2006-01-04 14:00:00,543,1415,334,9,484,21,149,9
2006-01-04 15:00:00,417,1415,283,9,531,21,127,9
2006-01-04 16:00:00,240,1415,62,9,28,21,57,9
2006-01-04 17:00:00,43,908,7,9,74,21,3,9
2006-01-04 18:00:00,0,0,0,0,0,0,0,0
