,ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Dir Mod (Wh/m^2),Dir Mod Unc (%),Dif Mod (Wh/m^2),Dif Mod Unc (%)
2006-01-02 00:00:00,0,0,0,0,0,0,0,0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0
2006-01-02 08:00:00,43,908,5,9,0,21,5,9
2006-01-02 09:00:00,241,1415,58,9,0,21,58,9
2006-01-02 10:00:00,420,1415,130,9,18,21,125,9
2006-01-02 11:00:00,546,1415,162,9,12,21,157,9
2006-01-02 12:00:00,611,1415,130,9,0,21,130,9
2006-01-02 13:00:00,610,1415,170,9,10,21,166,9
2006-01-02 14:00:00,543,1415,203,9,77,21,173,9
2006-01-02 15:00:00,415,1415,100,9,0,21,100,9
2006-01-02 16:00:00,235,1415,36,9,0,21,36,9
2006-01-02 17:00:00,39,861,1,9,0,21,1,9
2006-01-02 18:00:00,0,0,0,0,0,0,0,0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0
2006-01-02 20:00:00,0,0,0,0,0,0,0,0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0
2006-01-02 22:00:00,0,0,0,0,0,0,0,0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0
2006-01-03 01:00:00,0,0,0,0,0,0,0,0
2006-01-03 02:00:00,0,0,0,0,0,0,0,0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0
2006-01-03 05:00:00,0,0,0,0,0,0,0,0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0
2006-01-03 08:00:00,43,908,3,9,0,21,3,9
2006-01-03 09:00:00,241,1415,39,9,0,21,39,9
2006-01-03 10:00:00,421,1415,81,9,0,21,81,9
2006-01-03 11:00:00,548,1415,65,9,0,21,65,9
2006-01-03 12:00:00,613,1415,75,9,0,21,75,9
2006-01-03 13:00:00,613,1415,76,9,0,21,76,9
2006-01-03 14:00:00,546,1415,90,9,0,21,90,9
2006-01-03 15:00:00,418,1415,48,9,0,21,48,9
2006-01-03 16:00:00,238,1415,33,9,0,21,33,9
2006-01-03 17:00:00,41,884,3,9,0,21,3,9
2006-01-03 18:00:00,0,0,0,0,0,0,0,0
2006-01-03 19:00:00,0,0,0,0,0,0,0,0
2006-01-03 20:00:00,0,0,0,0,0,0,0,0
2006-01-03 21:00:00,0,0,0,0,0,0,0,0
2006-01-03 22:00:00,0,0,0,0,0,0,0,0
2006-01-03 23:00:00,0,0,0,0,0,0,0,0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0
2006-01-04 01:00:00,0,0,0,0,0,0,0,0
2006-01-04 02:00:00,0,0,0,0,0,0,0,0
2006-01-04 03:00:00,0,0,0,0,0,0,0,0
2006-01-04 04:00:00,0,0,0,0,0,0,0,0
2006-01-04 05:00:00,0,0,0,0,0,0,0,0
2006-01-04 06:00:00,0,0,0,0,0,0,0,0
2006-01-04 07:00:00,0,0,0,0,0,0,0,0
2006-01-04 08:00:00,43,908,13,9,115,21,7,9
2006-01-04 09:00:00,242,1415,142,9,373,21,78,9
2006-01-04 10:00:00,422,1415,242,9,469,21,102,9
2006-01-04 11:00:00,549,1415,349,9,531,21,143,9
2006-01-04 12:00:00,615,1415,308,9,258,21,196,9
2006-01-04 13:00:00,615,1415,210,9,55,21,186,9
2006-01-04 14:00:00,549,1415,258,9,215,21,174,9
2006-01-04 15:00:00,422,1415,274,9,466,21,135,9
2006-01-04 16:00:00,242,1415,57,9,0,21,57,9
2006-01-04 17:00:00,43,908,5,9,9,21,5,9
2006-01-04 18:00:00,0,0,0,0,0,0,0,0
