YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (Wh/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod (Wh/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,TotCC (10ths),TotCC Flg,OpqCC (10ths),OpqCC Flg,Dry Bulb (C),Dry Bulb Flg,Dew Pnt (C),Dew Pnt Flg,Rel Hum (%),Rel Hum Flg,Baro Press (mbar),Baro Press Flg,Wind Speed (m/s),Wind Speed Flg,Wind Dir (deg),Wind Dir Flg,Hor Vis (m),Hor Vis Flg,Ceil Hgt (m),Ceil Hgt Flg,Liq Precip Depth (mm),Liq Precip Depth Flg,Liq Precip Quantity (hours),Liq Precip Quantity Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1991-01-01,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-3.3,5,-12.2,5,46,54,1013,61,2.6,5,340,5,32000,5,22000,5,0,5,1,99,1.2,1,0.088,1
1991-01-01,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-3.3,5,-11.1,5,51,54,1013,61,1.5,5,340,5,32000,5,22000,5,0,5,1,99,1.1,1,0.088,1
1991-01-01,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-3.9,5,-10.6,5,56,54,1013,61,0.0,5,0,54,24000,5,22000,5,0,5,1,99,1.1,1,0.088,1
1991-01-01,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-3.3,5,-10.6,5,53,54,1013,61,1.5,5,40,5,24000,5,22000,5,0,5,1,99,1.1,1,0.088,1
1991-01-01,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-3.9,5,-8.9,5,65,54,1013,61,0.0,5,0,54,24000,5,22000,5,0,5,1,99,1.0,1,0.088,1
1991-01-01,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-4.4,5,-8.3,5,71,54,1013,61,0.0,5,0,54,24000,5,22000,5,0,5,1,99,1.0,1,0.088,1
1991-01-01,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-4.4,5,-10.0,5,61,54,1013,61,0.0,5,0,54,24000,5,22000,5,0,5,1,99,1.0,1,0.088,1
1991-01-01,8:00,87.3,123.6,42,884,13,10,1,116,16,1,8,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-3.3,5,-10.6,5,53,54,1013,61,1.5,5,340,5,24000,5,22000,5,0,5,1,99,1.0,1,0.069,1
1991-01-01,9:00,80.2,132.2,240,1415,123,10,1,510,16,1,36,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-1.7,5,-10.6,5,46,54,1013,61,2.1,5,340,5,24000,5,22000,5,0,5,1,99,1.0,1,0.069,1
1991-01-01,10:00,72.7,144.1,421,1415,260,10,1,704,16,1,51,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,0.0,5,-8.9,5,47,54,1013,61,1.5,5,350,5,24000,5,22000,5,0,5,1,99,1.0,1,0.069,1
