Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1242368,-,-,-,40.69,-74.06,-5,12,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI
2010,1,1,0,0,0
2010,1,1,0,30,0
2010,1,1,1,0,0
2010,1,1,1,30,0
2010,1,1,2,0,0
2010,1,1,2,30,0
2010,1,1,3,0,0
2010,1,1,3,30,0
2010,1,1,4,0,0
2010,1,1,4,30,0
2010,1,1,5,0,0
2010,1,1,5,30,0
2010,1,1,6,0,0
2010,1,1,6,30,0
2010,1,1,7,0,0
2010,1,1,7,30,0
2010,1,1,8,0,35
2010,1,1,8,30,77
2010,1,1,9,0,102
2010,1,1,9,30,106
2010,1,1,10,0,110
2010,1,1,10,30,181
2010,1,1,11,0,198
2010,1,1,11,30,328
2010,1,1,12,0,352
2010,1,1,12,30,302
2010,1,1,13,0,268
2010,1,1,13,30,279
2010,1,1,14,0,246
2010,1,1,14,30,201
2010,1,1,15,0,156
2010,1,1,15,30,100
2010,1,1,16,0,46
2010,1,1,16,30,0
2010,1,1,17,0,0
2010,1,1,17,30,0
2010,1,1,18,0,0
2010,1,1,18,30,0
2010,1,1,19,0,0
2010,1,1,19,30,0
2010,1,1,20,0,0
2010,1,1,20,30,0
2010,1,1,21,0,0
2010,1,1,21,30,0
2010,1,1,22,0,0
2010,1,1,22,30,0
2010,1,1,23,0,0
2010,1,1,23,30,0
2010,1,2,0,0,0
2010,1,2,0,30,0
2010,1,2,1,0,0
2010,1,2,1,30,0
2010,1,2,2,0,0
2010,1,2,2,30,0
2010,1,2,3,0,0
2010,1,2,3,30,0
2010,1,2,4,0,0
2010,1,2,4,30,0
2010,1,2,5,0,0
2010,1,2,5,30,0
2010,1,2,6,0,0
2010,1,2,6,30,0
2010,1,2,7,0,0
2010,1,2,7,30,0
2010,1,2,8,0,61
2010,1,2,8,30,133
2010,1,2,9,0,208
2010,1,2,9,30,278
2010,1,2,10,0,300
2010,1,2,10,30,304
2010,1,2,11,0,312
2010,1,2,11,30,304
2010,1,2,12,0,257
2010,1,2,12,30,235
2010,1,2,13,0,278
2010,1,2,13,30,248
2010,1,2,14,0,339
2010,1,2,14,30,186
2010,1,2,15,0,127
2010,1,2,15,30,82
2010,1,2,16,0,39
2010,1,2,16,30,0
2010,1,2,17,0,0
2010,1,2,17,30,0
2010,1,2,18,0,0
2010,1,2,18,30,0
2010,1,2,19,0,0
2010,1,2,19,30,0
2010,1,2,20,0,0
2010,1,2,20,30,0
2010,1,2,21,0,0
2010,1,2,21,30,0
2010,1,2,22,0,0
2010,1,2,22,30,0
2010,1,2,23,0,0
2010,1,2,23,30,0
2010,1,3,0,0,0
2010,1,3,0,30,0
2010,1,3,1,0,0
2010,1,3,1,30,0
2010,1,3,2,0,0
2010,1,3,2,30,0
2010,1,3,3,0,0
2010,1,3,3,30,0
2010,1,3,4,0,0
2010,1,3,4,30,0
2010,1,3,5,0,0
2010,1,3,5,30,0
2010,1,3,6,0,0
2010,1,3,6,30,0
2010,1,3,7,0,0
2010,1,3,7,30,0
2010,1,3,8,0,34
2010,1,3,8,30,72
2010,1,3,9,0,121
2010,1,3,9,30,83
2010,1,3,10,0,231
2010,1,3,10,30,262
2010,1,3,11,0,285
2010,1,3,11,30,325
2010,1,3,12,0,385
2010,1,3,12,30,355
2010,1,3,13,0,284
2010,1,3,13,30,205
2010,1,3,14,0,106
2010,1,3,14,30,145
2010,1,3,15,0,38
2010,1,3,15,30,69
2010,1,3,16,0,34
2010,1,3,16,30,6
2010,1,3,17,0,0
2010,1,3,17,30,0
2010,1,3,18,0,0
2010,1,3,18,30,0
2010,1,3,19,0,0
2010,1,3,19,30,0
2010,1,3,20,0,0
2010,1,3,20,30,0
