,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,GHI_yesterday,GHI_Avg_Week,GHI_Avg_Month
2010-01-01 00:00:00,2010,1,1,0,0,0,0,0,3.5947237014770512,-2.604284667968728,167.60518944786594,,,
2010-01-01 01:00:00,2010,1,1,1,0,0,0,0,3.2333459854125977,-3.1307128906249773,168.08073189398937,,,
2010-01-01 02:00:00,2010,1,1,2,0,0,0,0,2.996222972869873,-3.4775146484374773,158.1447066676947,,,
2010-01-01 03:00:00,2010,1,1,3,0,0,0,0,2.8588075637817383,-3.618231201171852,146.01416842304832,,,
2010-01-01 04:00:00,2010,1,1,4,0,0,0,0,2.680999279022217,-3.672338867187477,133.49731714091223,,,
2010-01-01 05:00:00,2010,1,1,5,0,0,0,0,2.3887243270874023,-3.6478637695312273,121.00749122877312,,,
2010-01-01 06:00:00,2010,1,1,6,0,0,0,0,1.9935542345047,-3.439001464843728,108.75091276561388,,,
2010-01-01 07:00:00,2010,1,1,7,0,0,0,0,1.5267127752304075,-2.6519226074218523,96.91648338551892,,,
2010-01-01 08:00:00,2010,1,1,8,0,47,25,295,0.9808658957481384,-1.0081237792968525,85.73969154290747,,,
2010-01-01 09:00:00,2010,1,1,9,0,228,65,655,0.5856096148490906,1.3175292968750227,75.56167911704246,,,
2010-01-01 10:00:00,2010,1,1,10,0,400,82,809,0.3046989142894745,4.466027832031274,66.86668102584488,,,
2010-01-01 11:00:00,2010,1,1,11,0,527,91,880,0.2140379548072815,6.906304931640648,60.323534337866185,,,
2010-01-01 12:00:00,2010,1,1,12,0,595,96,909,0.6029298305511475,9.030725097656275,56.69723748421218,,,
2010-01-01 13:00:00,2010,1,1,13,0,597,96,909,0.9274574518203736,10.151147460937525,56.55887049721918,,,
2010-01-01 14:00:00,2010,1,1,14,0,533,91,880,1.1160482168197632,10.1938415527344,59.93288080043278,,,
2010-01-01 15:00:00,2010,1,1,15,0,410,81,816,1.1643394231796265,9.4677673339844,66.27949662434519,,,
2010-01-01 16:00:00,2010,1,1,16,0,244,63,690,1.202418565750122,7.644738769531273,74.83560845710197,,,
2010-01-01 17:00:00,2010,1,1,17,0,74,41,375,1.580712080001831,4.843560791015649,84.91987906664731,,,
2010-01-01 18:00:00,2010,1,1,18,0,0,0,0,2.0998306274414062,4.158776855468774,96.03392304057304,,,
2010-01-01 19:00:00,2010,1,1,19,0,0,0,0,2.519033193588257,3.6951538085937727,107.82727801687359,,,
2010-01-01 20:00:00,2010,1,1,20,0,0,0,0,2.809255123138428,3.227960205078148,120.05815987234259,,,
2010-01-01 21:00:00,2010,1,1,21,0,0,0,0,2.9360318183898926,2.7149291992187727,132.53521303245407,,,
2010-01-01 22:00:00,2010,1,1,22,0,0,0,0,2.862309694290161,2.2462097167968977,145.05563900931983,,,
2010-01-01 23:00:00,2010,1,1,23,0,0,0,0,2.613377332687378,1.8771606445312727,157.23308154839526,,,
2010-01-02 00:00:00,2010,1,2,0,0,0,0,0,2.2857487201690674,1.6643005371093975,167.47471727545064,0.0,,
2010-01-02 01:00:00,2010,1,2,1,0,0,0,0,1.9631109237670896,1.3720642089843975,168.05846857659566,0.0,,
2010-01-02 02:00:00,2010,1,2,2,0,0,0,0,1.5266772508621216,1.0668579101562727,158.18848127612947,0.0,,
2010-01-02 03:00:00,2010,1,2,3,0,0,0,0,1.1063103675842283,0.6507202148437727,146.07334235924205,0.0,,
2010-01-02 04:00:00,2010,1,2,4,0,0,0,0,0.9792137145996094,0.17678222656252274,133.5587642098887,0.0,,
2010-01-02 05:00:00,2010,1,2,5,0,0,0,0,1.3206318616867063,-0.5408691406249773,121.06581985488077,0.0,,
2010-01-02 06:00:00,2010,1,2,6,0,0,0,0,1.7657930850982666,-1.4879211425781025,108.80261424334762,0.0,,
2010-01-02 07:00:00,2010,1,2,7,0,0,0,0,2.0683150291442867,-2.0893005371093523,96.95831737331687,0.0,,
2010-01-02 08:00:00,2010,1,2,8,0,45,25,279,2.108696460723877,-0.7954162597656023,85.76797209843822,47.0,,
2010-01-02 09:00:00,2010,1,2,9,0,222,63,635,1.8204611539840696,1.6327148437500227,75.57190845996679,228.0,,
2010-01-02 10:00:00,2010,1,2,10,0,390,80,788,1.7977936267852783,4.413537597656274,66.85347993640931,400.0,,
